user_id,x1,x2,x3,x10,x12,x13,x15,x16,x18,x19,x20,x24,x26,x27,x28,x29,x36,x39,x40,x41,y
2000002619707280 ,15,21,2,0,0,0,0,0,0,2,12,0,4,1.5,37,1,1,0,0,1,0
2000002506351960 ,91,53,18,0,0,76,9,14,22,18,5,3,8,0.88,23,12,5,0,0,6,0
2000002718145300 ,23,36,0,0,0,0,0,0,6,2,20,1,6,0.83,378,10,3,0,0,2,0
2000002363623960 ,55,81,9,0,0,0,0,0,2,4,16,0,5,1.2,45,10,3,0,0,5,0
2000002419610190 ,45,55,5,0,0,9,8,3,5,5,4,0,6,1,42,8,3,0,0,6,0
2000002923413860 ,88,64,1,0,0,42,29,23,6,12,4,9,5,0.8,70,151,4,0,0,3,0
2000002506277590 ,4,9,2,0,0,0,0,0,2,3,6,0,1,0,184,26,0,0,0,4,0
2000002363604580 ,91,50,9,0,0,42,18,51,12,7,1,7,7,1.43,20,13,4,0,0,2,0
2000002576604290 ,66,29,7,0,0,34,34,46,10,13,25,6,5,0.8,85,84,7,0,0,4,0
2000002506234190 ,90,57,2,0,0,34,36,45,6,0,1,17,8,0.88,16,13,5,0,0,5,0
2000002763552590 ,73,40,1,0,0,34,90,43,21,5,0,17,6,0.83,40,30,5,0,0,5,0
2000002441498420 ,73,64,10,0,0,97,62,25,26,10,2,0,6,1.17,12,59,5,0,0,5,0
2000002576537950 ,153,110,17,0,0,43,10,13,37,61,56,1,7,1,369,192,7,0,0,2,0
2000002452214300 ,31,55,6,0,11,0,0,2,6,8,2,2,5,1,70,174,1,0,0,5,0
2000002752841160 ,35,31,0,0,0,20,35,10,0,3,7,0,3,0.67,107,220,2,0,0,4,0
2000002753232320 ,100,77,0,0,0,66,104,75,9,10,32,13,7,0.86,378,26,5,0,0,3,0
2000002383515720 ,30,28,4,0,0,9,6,8,21,8,0,0,3,1,37,13,2,0,0,5,0
2000002366494580 ,45,33,11,0,0,34,20,15,13,2,10,4,6,0.83,55,13,3,0,0,2,0
2000002441498400 ,4,15,0,0,0,0,0,0,0,2,0,0,3,1,108,2,0,0,0,3,0
2000002920898760 ,54,85,16,0,0,0,53,19,4,35,28,4,4,0.75,240,415,6,0,0,3,0
2000002690396210 ,57,26,8,0,699,21,6,9,7,19,20,3,6,1,18,21,6,0,0,6,0
2000002931570740 ,86,68,4,0,0,34,29,44,8,11,14,16,3,0.67,38,173,5,0,0,3,0
2000002569132620 ,23,29,3,0,7,0,0,0,0,2,26,6,4,1,88,14,2,0,0,1,0
2000002781572070 ,22,14,2,0,0,15,1,1,3,6,10,0,2,0.5,140,7,2,0,0,4,0
2000002437848900 ,0,0,0,1,0,0,0,0,0,0,0,0,2,2,82,1,0,1,0,5,0
2000002880599590 ,32,49,1,0,261,8,3,5,9,8,35,2,3,1.67,379,191,2,0,0,5,0
2000002371526060 ,74,68,3,0,25,0,14,26,30,6,0,25,6,0.83,69,27,3,0,0,2,0
2000002393908950 ,27,14,0,0,0,17,30,15,4,0,0,1,3,0.67,133,8,2,0,0,2,0
2000002452221290 ,117,101,1,2,7,37,20,25,24,12,2,8,7,1,22,25,8,0,0,5,0
2000002749295580 ,43,21,1,0,0,17,17,27,6,0,10,4,4,1,374,16,2,0,0,2,0
2000002368322390 ,41,56,7,0,0,17,16,9,4,8,31,0,3,1,105,41,2,0,0,3,0
2000001654011300 ,67,37,5,0,0,0,41,35,12,6,6,9,6,1,38,24,4,0,0,2,0
2000002926423950 ,83,47,15,0,0,34,37,58,13,18,4,9,6,0.83,192,29,5,0,0,3,0
2000002357570240 ,45,24,2,0,0,18,14,22,20,4,0,11,4,0.75,90,8,4,0,0,6,0
2000002607731270 ,74,87,5,0,0,28,26,24,7,9,27,1,5,1.4,366,13,1,0,0,2,0
2000002650895260 ,3,7,1,0,0,0,0,0,0,2,0,0,2,0.5,158,4,0,0,0,2,0
2000002353019610 ,106,103,9,1,12,43,48,63,19,24,59,3,6,1,39,34,9,1,0,4,0
2000002819095850 ,132,146,16,0,13,37,12,27,36,61,51,18,6,0.83,44,157,8,0,1,3,0
2000001578070380 ,77,42,16,0,0,36,38,39,41,12,24,3,7,1,368,15,4,0,0,3,0
2000002368699260 ,77,50,16,0,0,43,40,46,21,11,19,8,8,0.88,371,26,4,0,0,5,0
2000002550341480 ,7,5,1,0,0,0,0,0,0,2,1,0,5,2.6,69,1,1,0,0,4,0
2000002781631790 ,18,6,2,0,0,9,4,7,3,3,0,3,3,1.33,70,5,1,0,0,5,0
2000002781669920 ,72,37,6,0,0,34,18,26,19,14,14,14,5,1.2,20,22,5,0,0,2,0
2000002690472210 ,63,24,3,0,0,35,39,39,15,11,2,7,5,1.2,19,33,5,0,0,2,0
2000002835676980 ,0,61,0,0,0,22,15,16,7,10,5,1,7,0.86,369,35,5,0,0,3,0
